T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
bagel,bread,nnaughtydogg,gildo,0,2,0
mr.sir,masterhandjob,thenuge,spunker,0,2,0
horbie,sunnyb,jonnjonn,mattmatt,0,2,0
kaz,sun vulcan,whitejesus,jay_mute$,1,0,2
rusty,kristoff,cmull,bigbeaver,0,2,0
eliot,pidgezero_one,greeno,stew,1,1,2
spongy,fireblaster,zbl_mystic,dane_gleesack,0,2,0
dark gentleman,kelvinheit,beans,dmolz,0,2,0
waldo,zuko,jamjar,nardwell,0,2,0
prime,gt,general1712,chicken,0,2,0
superboomfan,firo,bagel,bread,0,2,0
mr.sir,masterhandjob,horbie,sunnyb,0,2,0
tr3gthez,handsometom,whitejesus,jay_mute$,0,2,0
janco,revan,rusty,kristoff,0,2,1
alvin,mariguas,greeno,stew,0,2,0
spongy,fireblaster,dark gentleman,kelvinheit,0,2,0
barksanchez,shears,waldo,zuko,0,2,0
jimmy joe,th3kuzinator,prime,gt,0,2,0
superboomfan,firo,mr.sir,masterhandjob,0,2,0
tr3gthez,handsometom,janco,revan,0,2,0
alvin,mariguas,spongy,fireblaster,0,2,1
barksanchez,shears,jimmy joe,th3kuzinator,0,2,1
superboomfan,firo,tr3gthez,handsometom,0,3,1
alvin,mariguas,barksanchez,shears,0,3,1
superboomfan,firo,alvin,mariguas,0,3,2
superboomfan,firo,alvin,mariguas,0,3,1
thenuge,spunker,jonnjonn,mattmatt,0,2,1
zbl_mystic,dane_gleesack,beans,dmolz,0,2,1
prime,gt,nnaughtydogg,gildo,0,2,1
waldo,zuko,thenuge,spunker,1,1,2
dark gentleman,kelvinheit,kaz,sun vulcan,1,1,2
greeno,stew,cmull,bigbeaver,1,0,2
rusty,kristoff,eliot,pidgezero_one,0,2,1
whitejesus,jay_mute$,zbl_mystic,dane_gleesack,0,2,1
horbie,sunnyb,jamjar,nardwell,0,2,0
bagel,bread,general1712,chicken,0,2,0
prime,gt,thenuge,spunker,1,0,2
kaz,sun vulcan,cmull,bigbeaver,1,1,2
rusty,kristoff,whitejesus,jay_mute$,0,2,0
horbie,sunnyb,bagel,bread,0,2,0
janco,revan,thenuge,spunker,0,2,0
mr.sir,masterhandjob,cmull,bigbeaver,0,2,0
jimmy joe,th3kuzinator,rusty,kristoff,0,2,1
spongy,fireblaster,horbie,sunnyb,1,0,2
janco,revan,mr.sir,masterhandjob,0,3,1
jimmy joe,th3kuzinator,horbie,sunnyb,0,3,0
barksanchez,shears,janco,revan,0,3,2
tr3gthez,handsometom,jimmy joe,th3kuzinator,0,3,1
barksanchez,shears,tr3gthez,handsometom,0,3,2
alvin,mariguas,barksanchez,shears,0,3,0
