Tournament,slug,Player 1, Player 2
Genesis 4,g4,k y s k,ctg
Genesis 4,g4,inukem,d35
Genesis 4,g4,taiko,jimmy joe
Genesis 4,g4,taimai,jaimehr
Genesis 4,g4,wookiee,pizza jokes
Genesis 4,g4,yu-kun,shears
Genesis 4,g4,nickelbackstreetboy,kimimaru
Genesis 4,g4,zero,handsometom
Genesis 4,g4,k y s k,ctg
Genesis 4,g4,taimai,jaimehr
Genesis 4,g4,yu-kun,shears
Genesis 4,g4,k y s k,stranded
Genesis 4,g4,isai,taimai
Genesis 4,g4,mariguas,k y s k
Genesis 4,g4,k y s k,wizzrobe
Genesis 4,g4,k y s k,alvin
Genesis 4,g4,sotoh,freean
Genesis 4,g4,yu-kun,kyle tree
Genesis 4,g4,stranded,jaimehr
Genesis 4,g4,yu-kun,isai
Genesis 4,g4,mariguas,tr3gthez
Genesis 4,g4,alvin,superboomfan
SMASH CONFERENCE LXIX,smash-conference-lxix-3,kerokeroppi,dtan
SMASH CONFERENCE LXIX,smash-conference-lxix-3,sheermadness,loto
SMASH CONFERENCE LXIX,smash-conference-lxix-3,ctg,shears
Don't Park On The Grass,don-t-park-on-the-grass,jason,letsgo
Don't Park On The Grass,don-t-park-on-the-grass,barksanchez,fireblaster
Showdown: Battle Royale,showdown-battle-royale,lorenzo,pugs
Boss Battle 2,boss-battle-2-1,janitor,pugs
Boss Battle 2,boss-battle-2-1,fireblaster,fumbles
Boss Battle 2,boss-battle-2-1,darkhorse,madrush21
Boss Battle 2,boss-battle-2-1,combo blaze,vinsanity
Boss Battle 2,boss-battle-2-1,fumbles,dogg
Boss Battle 2,boss-battle-2-1,d35,limesoda
Boss Battle 2,boss-battle-2-1,janitor,a to tr3gthez
