player,rating,rd,sets,wins,losses,num_tourneys
k y s k,2262.36813104,153.934772247,10,8,2,1
superboomfan,2121.04226558,68.2694245667,107,100,7,11
alvin,2069.45886898,83.4651397584,30,26,4,3
yu-kun,2002.3111867,154.475826037,8,6,2,1
taimai,1976.04902261,162.362836557,7,5,2,1
wizzrobe,1968.25650613,65.5820481001,70,57,13,9
mariguas,1952.81070495,68.5302721219,59,47,12,6
dext3r,1909.2197997,69.7370471739,49,37,12,5
kerokeroppi,1908.37483117,63.0667302141,81,62,19,9
tacos,1890.52696074,68.4475533669,59,45,14,7
tr3gthez,1887.92950492,73.6388389222,46,35,11,5
isai,1886.98278318,82.5166692688,40,32,8,4
barksanchez,1877.19389228,62.173203251,55,39,16,7
zantetsu,1854.91602206,108.594573957,17,13,4,2
wario,1854.0221633,144.573041605,11,10,1,1
vinsanity,1846.19341828,146.063035911,8,6,2,1
kurabba,1840.17281464,148.620114555,9,7,2,1
dtan,1837.79898802,75.3944387309,33,23,10,4
stranded,1836.43341348,82.501725635,31,23,8,4
revan,1821.7797655,68.791528484,52,39,13,6
lowww,1813.14333142,139.106368101,9,7,2,1
prince,1813.10573268,140.575964575,9,7,2,1
wangera,1806.13160282,102.696884962,21,16,5,2
fireblaster,1798.86332897,64.6363776568,74,54,20,9
heropie,1792.6899803,104.641633006,16,12,4,2
marbles,1783.86361348,78.6556478317,38,27,11,5
derek #squats,1780.09896152,101.361799447,16,11,5,2
lorenzo,1778.26131989,83.8521949483,30,22,8,4
jaimehr,1767.10377427,76.4855476922,39,27,12,5
fox,1764.93593515,96.3012513128,24,17,7,3
bark the shark,1763.33175924,79.1417732755,40,29,11,5
firo,1762.07049906,88.5292532761,23,15,8,3
$$$ jim $$$,1747.77155166,97.7095364271,17,12,5,2
combo blaze,1746.78646918,85.0296343843,30,20,10,4
mojomonkey,1737.76478405,145.154444776,8,6,2,1
cobr,1737.41134065,90.7647238975,22,14,8,3
janitor,1735.76348141,77.3914917471,39,27,12,5
handsometom,1733.30861832,92.4373039913,22,14,8,3
hero pie,1731.20994763,109.203835586,17,11,6,2
bonobono,1726.70743493,144.574576229,7,5,2,1
nacl,1725.77960761,89.4667102406,25,16,9,4
sotoh,1721.13692294,86.3461764203,32,20,12,5
kort,1720.69478629,111.881774572,17,11,6,2
janco,1719.58237243,123.427304886,13,8,5,2
dark gentleman,1718.59374302,133.739475906,11,7,4,2
nothing,1718.22928798,103.077855026,21,15,6,3
